originating_name,target_name,reaction_count,message,name,description,link
pirati,respekt,81,"Erik Tabery: Přeji všem jen to nejlepší k dnešnímu svátku. 17. listopad 1989 je můj den nezávislosti, můj nejdůležitější svátek v roce. 

Věříme, že to máte stejně. ✌","Instagram photo by Týdeník Respekt • Nov 17, 2016 at 2:01pm UTC",See this Instagram photo by @respektcz • 3 likes,https://www.instagram.com/p/BM6fKG6ADfW/?taken-by=respektcz
pirati,dvtv,81,"""Nepředpokládám, že by Rusko chtělo zaútočit na NATO, ale vojenské schopnosti a akce, které Rusko v poslední době číní, z něj dělají potenciální hrozbu,"" míní generál a šéf Vojenského výboru NATO Petr Pavel. Věří, že s Ruskem povede Aliance racionální dialog. Jakákoli nekontrolovaná migrace může být podle něj pro Evropu nebezpečím, na druhou stranu dodává, že obava z terorismu a uprchlíků je v Česku přeceňována. O tom, že by kandidoval na prezidenta republiky neuvažuje.","Pavel: Ruská kampaň v ČR vytváří dojem, že Rusko není hrozba. Je ale nebezpečnější než Islámský stát","Nečekám, že by Rusko chtělo zaútočit na NATO, ale vojenské schopnosti a akce, které Rusko číní, z něj dělají potenciální hrozbu, říká Petr Pavel.",http://video.aktualne.cz/dvtv/pavel-ruska-kampan-v-cr-vytvari-dojem-ze-rusko-neni-hrozba-j/r~0b684b6e977b11e68cd20025900fea04/
pirati,hatefree,77,"Rukavice, škrabka a sprej. To je výbava sedmdesátileté Irmely, která již 30 let z berlínských ulic odstraňuje samolepky a graffiti s nacistickou tématikou. 
Za svou snahu získala již několik ocenění, byla však také napadena a nahlášena policii za ničení pouličního vybavení. Irmela si schováva nebo fotí vše, co odstraní. Její sbírka čítá na 70 tisíc samolepek a fotek graffiti a je uložena v Německém historickém muzeu v Berlíně. 
""Cítím potřebu něco skutečně dělat,"" říká Irmela. Má radost pokaždé, když odstraní nějakou takovou samolepku nebo nacistický symbol nahradí třeba srdcem <3
Co si o její aktivitě myslíte?",PlayGround +,The enemy of Nazi stickers is 70 years old and lives in Berlin.,https://www.facebook.com/playgroundenglish/videos/371746263158710/
rudy kurvy,cssd,181,"„My tady nemáme žádnou silnou muslimskou komunitu. Popravdě řečeno si ani nepřejeme, aby se tady nějaká silná muslimská komunita vytvořila.“ Bohuslav Sobotka",B. Sobotka: Nechceme tady mít silnou muslimskou komunitu,"S německou kancléřkou Angelou Merkelovou hodlá premiér Bohuslav Sobotka (ČSSD) ve čtvrtek v Praze projednat svůj návrh na zřízení evropské armády. V rozhovoru pro Právo řekl, že nechce, aby se v Česku vytvořila silná muslimská ...",https://www.cssd.cz/media/cssd-v-mediich/sobotka-nechceme-tady-mit-silnou-muslimskou-komunitu/
rudy kurvy,echo,171,"""Pan Herman se zřejmě snažil nějakým způsobem podpořit vyznamenání pro svého strýce, pan prezident se snažil zabránit schůzce ministra Hermana s dalajlamou. Každý po tom druhém něco chtěl a vzájemně se zklamali. Z toho pak vyplynuly ty hořkosti,"" říká v rozhovoru pro Týdeník Echo premiér.",Sobotka: Organizátoři na Staroměstském náměstí zneužili naštvanosti lidí - Echo24.cz,"Tři týdny po krajských volbách, které pro vládní ČSSD znamenají vyklízení pozic, přišel tento týden šok. Dva průzkumy (STEM a CVVM), v nichž sociální demokracie začala výrazně ztrácet na koaliční ANO Andreje Babiše, v obou případech o patnáct procent. Mezitím se udála řada dalších věcí: návštěva dal...",http://echo24.cz/a/w5jnV/sobotka-organizatori-na-staromestskem-namesti-zneuzili-nastvanosti-lidi
rudy kurvy,parlace,169,"Havlovi pohrobci s pěnou u huby. „Zuřil a křičel a bradu si slinou třísnil,“ citoval nám Ringo Čech z pověsti","Donald Trump, to je velké vítězství. Vyser se na to, Bartoško, vzkazuje Ringo Čech. Rusy všichni provokují, teď to bude jinak","ROZHOVOR „Horáček je statečnej! Líbí se mi, že chce být prezidentem! Ať to zkusí! Já bych mu ale vzkázal: Horáčku, začal jsi trochu brzo. Ono to do voleb ale trochu vychladne... Že byl ve vazbě, tak to přece neznamená, že byl opravdu zavřenej a že něco provedl,“ říká v rozhovoru ParlamentníchListů.c...",http://www.parlamentnilisty.cz/arena/rozhovory/Donald-Trump-to-je-velke-vitezstvi-Vyser-se-na-to-Bartosko-vzkazuje-Ringo-Cech-Rusy-vsichni-provokuji-ted-to-bude-jinak-461860
rudy kurvy,spd,152,"Hnutí Svoboda a přímá demokracie – Tomio Okamura děkuje všem příznivcům a voličům, kteří podpořili kandidáty našeho hnutí ve volbách do krajských zastupitelstev. V koalici se Stranou Práv Občanů a v samostatné kandidátce se naše hnutí prosadilo ve většině krajů a desítky našich kandidátů se prosadily do krajských zastupitelstev. Jde o obrovský úspěch vlasteneckého hnutí, které prosazuje přímou demokracií a které existuje pouhých 14 měsíců. Děkujeme za obrovskou práci naším členům a příznivcům, kterou odvedli v průběhu volebních kampaní. Naší zastupitelé budou aktivně prosazovat v rámci krajských zastupitelstev programové cíle našeho hnutí. Jde především o zastavení nelegální imigrace a diktátu EU a prosazování přímé demokracie.",Timeline Photos,,https://www.facebook.com/hnutispd/photos/a.974781025886076.1073741828.937443906286455/1271788262852016/?type=3
rudy kurvy,usvit,145,"Alena Vitásková - Senát 2016: Ti, co pomáhali vytunelovat OKD, sedí ve vládě a nikdo je nestíhá. Současná Sobotkova vláda je spojena i s ekonomicko-politickou mafií, která vydělává například na obnovitelných zdrojích energie. Vyvlastnění majetku Zdeňka Bakaly je jedinou možností, jak krádež OKD alespoň částečně napravit. 

Za zásadní považuji, aby byl výnos z dražby vyvlastněného majetku převeden na účet Moravskoslezského kraje a následně především na účty občanů na Ostravsku, kteří kvůli Bakalovi přišli o střechu nad hlavou a mnozí také o práci",Vitásková připravila zákon o vyvlastnění majetku miliardáře Bakaly,"Ostravská kandidátka Úsvitu - Národní koalice do Senátu Alena Vitásková chce oslovit voliče návrhem zákona na vyvlastnění majetku miliardáře Zdeňka Bakaly, bývalého spolumajitele černouhelné OKD. Předseda strany Miroslav Lidinský v úterý řekl, že speciální zákon má dovolit vyvlastnit a později vydra...",https://www.novinky.cz/ekonomika/414511-vitaskova-pripravila-zakon-o-vyvlastneni-majetku-miliardare-bakaly.html
rudy kurvy,svobodny forum,144,"Jeden z nejčtenějších rozhovorů na Svobodném fóru. Nejen o tom, jak Báru Štěpánovou pozval na večeři Andrej Babiš.","Bára Štěpánová: Nejde jen o ohavného prezidenta, ale i o Babiše a o naši svobodu","Herečka, signatářka Charty 77 a spoluzakladatelka někdejší Společnosti za veselejší současnost Bára Štěpánová zmínila jako jediná v původně zcenzurované Show Jana Krause i to, že „bylo kdysi takové heslo: Republiku si rozvracet nedáme. Tak prosím pěkně: Naši zemi si ukrást nedáme. Ani tím monstrem n...",http://svobodneforum.cz/bara-stepanova-nejde-jen-o-ohavneho-prezidenta-ale-i-o-babise-a-o-nasi-svobodu/
rudy kurvy,svobodny forum,144,"Herečce Báře Štěpánové přišla po jejím zcenzurovaném vystoupení v Show Jana Krause velmi zvláštní textová zpráva podepsaná ministrem financí Andrejem Babišem. Svobodnému fóru popsala, jak všechno probíhalo, i co ji trápí na současném dění v České republice.","Bára Štěpánová: Nejde jen o ohavného prezidenta, ale i o Babiše a o naši svobodu","Herečka, signatářka Charty 77 a spoluzakladatelka někdejší Společnosti za veselejší současnost Bára Štěpánová zmínila jako jediná v původně zcenzurované Show Jana Krause i to, že „bylo kdysi takové heslo: Republiku si rozvracet nedáme. Tak prosím pěkně: Naši zemi si ukrást nedáme. Ani tím monstrem n...",http://svobodneforum.cz/bara-stepanova-nejde-jen-o-ohavneho-prezidenta-ale-i-o-babise-a-o-nasi-svobodu/
rudy kurvy,svobodny forum,144,"Skvělý úspěch: Rozhovor s Bárou Štěpánovou má za 24 hodin už 100 tisíc zobrazení. Je to proto, že se Bára nebojí a říká věci přímo.","Bára Štěpánová: Nejde jen o ohavného prezidenta, ale i o Babiše a o naši svobodu","Herečka, signatářka Charty 77 a spoluzakladatelka někdejší Společnosti za veselejší současnost Bára Štěpánová zmínila jako jediná v původně zcenzurované Show Jana Krause i to, že „bylo kdysi takové heslo: Republiku si rozvracet nedáme. Tak prosím pěkně: Naši zemi si ukrást nedáme. Ani tím monstrem n...",http://svobodneforum.cz/bara-stepanova-nejde-jen-o-ohavneho-prezidenta-ale-i-o-babise-a-o-nasi-svobodu/
rudy kurvy,casopis sifra,140,Sdílejte s námi! Takový malý detail :-),Kterak Washington zničil za 14 let 7 zemí a západní média si toho nevšimla,"„Západní masmédia mají pouze dva nástroje: jedním z nich je pobuřující lež,“ míní analytik ve svém článku Presstitutes At Their Work. „Podivuhodná přesnost ruských raket s plochou dráhou letu a vzdušných útoků straší Pentagon. Ale podle západních médií ruské rakety dopadly na íránské území a téměř n…",http://www.casopis-sifra.cz/kterak-washington-znicil-za-14-let-7-zemi-a-zapadni-media-si-toho-nevsimla/
rudy kurvy,svobodni,139,"Europoslanec za Svobodné: „Turecký prezident Erdogan má zcela jiné představy o právu a demokracii, než máme my. Turecko neleží v Evropě a nepatří do EU, a já proto vyzývám Evropskou radu, aby okamžitě ukončila jednání s Tureckem o členství v EU!“",Petr Mach: Turecko nepatří do EU,,https://www.facebook.com/svobodni/videos/10154546497474704/
rudy kurvy,parlace,132,"Jarek Nohavica: Nenechme si vzít, co jsme zdědili od pradědů, dědů a otců","Jarek Nohavica: Nenechme si vzít, co jsme zdědili od pradědů, dědů a otců",O písni „Arab mi šahá na babu“ mimo jiné pohovořil reportér Tomáš Poláček s jejím autorem Jarkem Nohavicou. Ochutnávku rozhovoru z nového čísla Reportér Magazínu zveřejnil na svém facebookovém profilu.,http://www.parlamentnilisty.cz/arena/monitor/Jarek-Nohavica-Nenechme-si-vzit-co-jsme-zdedili-od-pradedu-dedu-a-otcu-461792
rudy kurvy,usvit,130,"Dámy a pánové, Norsko dnes uznává sňatek dospělého imigranta s jedenáctiletou dívkou, ale děti české matce odebralo za údajné zanedbání výchovy. V Německu je dnes evidovaných na 1500 vdaných, či ženatých nedospělých cizinců. Dánsko dokonce v zařízeních pro imigranty vytváří společné bydlení pro dospělé muže s nezletilými nevěstami. Představitelé italských muslimských obcí požadují povolení mnohoženství. 

V pátek a sobotu prosím zastavte premiéra Sobotku a celou naší vládu v jejich proimigrační, bruselské kolaboraci vedené madam Merkelovou. Běžte ke krajským volbám a rozhodněte o naší budoucnosti.",Zabraňme islamizaci České republiky - pojďte k volbám!,,https://www.facebook.com/usvitnarodnikoalice.cz/videos/1254446981273157/
rudy kurvy,spd,130,Vzkaz Tomia Okamury voličům,,,https://www.facebook.com/hnutispd/videos/1271891322841710/
rudy kurvy,prvnizpravy,128,Zbořil: Pokus o podvod nebo o privatizaci cenzury?,První zprávy - Domácí - Zbořil: Pokus o podvod nebo o privatizaci cenzury?,"<< VIDEO >> Prezident Obama na návštěvě Japonska sice položí květiny k pomníku obětí atomových bomb, svržených Američany na konci 2.světové války, ale neomluví se.",http://prvnizpravy.parlamentnilisty.cz/zpravy/politika/zboril-pokus-o-podvod-nebo-o-privatizaci-cenzury/
rudy kurvy,prvnizpravy,128,Zbořil: Pokus o podvod nebo o privatizaci cenzury?,První zprávy - Domácí - Zbořil: Pokus o podvod nebo o privatizaci cenzury?,"<< VIDEO >> Prezident Obama na návštěvě Japonska sice položí květiny k pomníku obětí atomových bomb, svržených Američany na konci 2.světové války, ale neomluví se.",http://prvnizpravy.parlamentnilisty.cz/zpravy/politika/zboril-pokus-o-podvod-nebo-o-privatizaci-cenzury/
