id	vytvoreno	text	Výběr	Koho odstřelil	Tag		problém
https://twitter.com/PREZIDENTmluvci/status/790211340313001984	Sun Oct 23 15:20:39 +0000 2016	Hlas prezidenta republiky má být hlasem národa, nikoli hlasem médií - stále aktuální slova pana prezidenta pronesená 17.11.2015.	x	Média	media		
https://twitter.com/PREZIDENTmluvci/status/790207857325203456	Sun Oct 23 15:06:49 +0000 2016	Slavnostní ceremoniál ve Vladislavském sále bude 28.10. od 20:00 vysílat také OVTV: https://t.co/FMRQrVr5to https://t.co/DCM57Po6rI					
https://twitter.com/PREZIDENTmluvci/status/790204421263228928	Sun Oct 23 14:53:09 +0000 2016	@SlechtovaKarla Paní ministryně, vážím si Vaší odvahy. Děkuji, J.O.					
https://twitter.com/PREZIDENTmluvci/status/790204149120045056	Sun Oct 23 14:52:05 +0000 2016	RT @SlechtovaKarla: Oslav 28. 10. na Hrade se zucastnim. Je to oslava naseho statniho svatku, ktereho si vazim. Je to nase historie.					
https://twitter.com/PREZIDENTmluvci/status/790170419319959552	Sun Oct 23 12:38:03 +0000 2016	JIŘÍ OVČÁČEK o Miloši Zemanovi: Skutečný politik, který drží slovo a má smysl pro humor!  https://t.co/zxWtYqAL3n					
https://twitter.com/PREZIDENTmluvci/status/790145312111427584	Sun Oct 23 10:58:17 +0000 2016	Jedno gesto s dalajlámou znehodnotilo práci všech. Když ministr Herman nerespektuje názor vlády, proč v ní zůstává? https://t.co/qWtMB920VN	a	Daniel Herman	vlada, daniel herman, kdu-csl, opozice		2
https://twitter.com/PREZIDENTmluvci/status/790134318362427392	Sun Oct 23 10:14:36 +0000 2016	Spustil jsem novou FB stránku k 28.10. Prosím všechny lidi dobré vůle o podporu v boji s nenávistí: https://t.co/LsBzTH9lkq	x	Pražská kavárna, HN, Česká televize, Halik, Gazdík, Herman	daniel herman, jiri brady, media, opozice		
https://twitter.com/PREZIDENTmluvci/status/790120473975726080	Sun Oct 23 09:19:35 +0000 2016	Vzpomínáte, jak Václav Havel na poslední chvíli zrušil udělení nejvyššího státního vyznamenání Helmutu Zilkovi? https://t.co/JdMgnChFdg	x	Jiří Brady, Václav Havel	helmut zilk, jiri brady, vaclav havel, daniel herman, opozice		2
https://twitter.com/PREZIDENTmluvci/status/790103110387728384	Sun Oct 23 08:10:35 +0000 2016	Kampaně bývají u nás špinavé. A tak v tradici 50. let "osobnosti" varují hosty před pomyslnou uličkou hanby, pokud půjdou 28.10. na Hrad.	x	Pražská kavárna, HN, Česká televize, Halik, Gazdík, Herman	daniel herman, opozice, kdu-csl, jiri brady		2
https://twitter.com/PREZIDENTmluvci/status/790096783976361984	Sun Oct 23 07:45:27 +0000 2016	Prezidentská kampaň M. Horáčka, s podporou P. Pitharta, D. Hermana, P. Gazdíka, T. Halíka, ČST Praha a HN bude zahájena 28.10. na Staromáku.	x	Pražská kavárna, HN, Česká televize, Halik, Gazdík, Herman	daniel herman, opozice, kdu-csl, jiri brady, petr pithart, petr gazdik, tomas halik, ceska televize, media, hn		2
https://twitter.com/PREZIDENTmluvci/status/789896701226065920	Sat Oct 22 18:30:23 +0000 2016	Pan prezident obdržel 586 žádostí o vyznamenání. 28.10. ocení zhruba 30 skvělých osobností. Kavárnu ale zajímá jen ministrova přízeň.	x	Pražská kavárna	daniel herman, opozice, kdu-csl, jiri brady, prazska kavarna		2
https://twitter.com/PREZIDENTmluvci/status/789851481163857920	Sat Oct 22 15:30:42 +0000 2016	Zeman ujišťoval Babiše: Neocenění Hermanova strýce s dalajlámou nesouvisí - https://t.co/kYXXCUWWYy					
https://twitter.com/PREZIDENTmluvci/status/789846296878342144	Sat Oct 22 15:10:06 +0000 2016	RT @MichalKubal: "Pokud se letoví dispečeři cítili dotčení prohlášeními, které jsem v uplynulých dnech uváděl, tak se jim hluboce omlouvám.…					
https://twitter.com/PREZIDENTmluvci/status/789840123479351296	Sat Oct 22 14:45:34 +0000 2016	Babiš: Zeman popřel souvislost neudělení vyznamenání s dalajlamou - https://t.co/SiCsxDEzVB					
